loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,category
-106641.67084622299,-7.586374820105498,62,14057,108,14.890500198999996,0.13787500184259255,fp,health
-106635.82760827421,-7.585959138384734,62,14057,108,14.875389655000003,0.13773508939814819,fp,health
-106646.05950601591,-7.586687024686342,62,14057,108,15.005054469,0.13893568952777777,fp,health
-106650.8263408694,-7.587026132237988,62,14057,107,14.688969595999998,0.13728008968224298,fp,health
-106640.487677141,-7.586290650717864,62,14057,106,14.466538371000006,0.13647677708490571,fp,health
-106628.34774049147,-7.585427028561676,62,14057,110,15.091676503000006,0.13719705911818186,fp,health
-106652.67572395857,-7.587157695380136,62,14057,106,14.429602317000002,0.13612832374528305,fp,health
-106640.50697130665,-7.586292023284246,62,14057,107,14.584449580999998,0.13630326711214952,fp,health
-106675.4279968875,-7.588776267830085,62,14057,106,14.596809249000005,0.13770574763207552,fp,health
-106602.66733915276,-7.5836001521770475,62,14057,108,14.822648585999996,0.13724674616666663,fp,health
-106653.84078898725,-7.587240576864711,62,14057,107,14.549047888999997,0.13597241017757006,fp,health
-106643.41345553464,-7.5864987874748975,62,14057,107,14.546942705000001,0.13595273556074766,fp,health
-106639.84192740615,-7.586244712769876,62,14057,108,14.649955536999995,0.13564773645370365,fp,health
-108306.89413145934,-7.704837030053307,62,14057,26,3.3145538840000004,0.1274828416923077,grad,health
-106304.61790715743,-7.562397233204626,62,14057,41,5.345756352,0.1303843012682927,grad,health
-108039.916688383,-7.685844539260369,62,14057,22,2.7979453930000004,0.12717933604545456,grad,health
-106289.90974742576,-7.56135091039523,62,14057,41,5.323227745,0.12983482304878047,grad,health
-108455.27828857847,-7.7153929208635175,62,14057,26,3.3169305669999996,0.12757425257692306,grad,health
-108438.25509780431,-7.714181909212799,62,14057,27,3.4884967739999997,0.12920358422222222,grad,health
-108514.61948326083,-7.71961439021561,62,14057,23,2.969095722,0.12909111834782608,grad,health
-107973.00535970184,-7.6810845386428,62,14057,21,2.6530419899999993,0.12633533285714282,grad,health
